MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,51,836,204,255,0,0,0
2,71,862,204,289,0,0,0
3,60,858,204,256,0,0,0
4,133,852,204,265,0,1,1
5,115,878,204,251,0,1,1
6,416,651,204,269,0,1,1
7,71,866,204,260,0,1,1
8,46,869,204,269,0,0,0
9,126,857,204,258,0,1,1
10,64,898,204,259,0,1,1
11,59,865,204,258,0,0,0
12,124,812,204,209,1,1,1
13,53,858,204,255,0,0,0
14,60,856,204,255,0,0,0
15,73,889,204,246,0,1,1
16,62,868,204,261,0,1,1
17,97,822,204,269,0,1,1
18,49,861,204,268,0,0,0
19,153,850,204,242,0,0,0
20,84,480,204,258,0,1,1
21,88,602,204,204,1,0,1
22,63,853,204,260,0,0,0
23,66,856,204,251,0,1,1
24,103,840,204,259,0,1,1
25,56,832,204,255,0,1,1
26,67,853,204,245,0,0,0
27,73,847,204,260,0,1,1
28,60,833,204,250,0,0,0
29,55,841,204,261,0,1,1
30,138,834,204,244,0,1,1
31,131,636,204,235,0,1,1
32,40,772,204,248,0,0,0
33,77,550,204,273,0,1,1
34,52,531,204,204,1,0,1
35,43,833,204,257,0,0,0
36,62,858,204,261,0,0,0
37,66,833,204,245,0,0,0
38,53,823,204,249,0,0,0
39,73,835,204,246,0,0,0
40,45,850,204,242,0,0,0
41,95,814,204,258,0,1,1
42,82,825,204,267,0,0,0
43,121,795,204,252,0,1,1
44,45,818,204,260,0,0,0
45,65,823,204,257,0,0,0
46,66,797,204,255,0,1,1
47,59,765,204,250,0,0,0
48,63,803,204,251,0,0,0
49,51,804,204,252,0,1,1
50,63,768,204,260,0,1,1
51,82,526,204,248,0,1,1
52,84,787,204,246,0,1,1
53,106,797,204,265,0,1,1
54,62,780,204,254,0,0,0
55,76,810,204,257,0,1,1
56,68,784,204,258,0,1,1
57,87,769,204,247,0,1,1
58,89,772,204,249,0,1,1
59,45,813,204,260,0,0,0
60,54,820,204,253,0,0,0
61,80,814,204,265,0,1,1
62,78,808,204,242,0,1,1
63,60,788,204,246,0,0,0
64,67,783,204,251,0,1,1
65,137,781,204,236,0,1,1
66,57,812,204,257,0,1,1
67,189,792,204,249,0,1,1
68,64,812,204,248,0,0,0
69,50,818,204,277,0,1,1
70,65,799,204,272,0,1,1
71,64,785,204,246,0,0,0
72,89,786,204,242,0,0,0
73,50,802,204,253,0,1,1
74,101,785,204,244,0,1,1
75,55,813,204,261,0,0,0
76,60,803,204,278,0,1,1
77,62,797,204,248,0,1,1
78,72,794,204,249,0,1,1
79,69,797,204,252,0,0,0
80,41,808,204,266,0,1,1
81,72,821,204,259,0,0,0
82,52,814,204,259,0,0,0
83,64,822,204,256,0,0,0
84,69,808,204,266,0,0,0
85,137,760,204,254,0,1,1
86,296,716,204,223,0,1,1
87,61,790,204,264,0,1,1
88,103,792,204,270,0,1,1
89,117,806,204,231,0,1,1
90,88,792,204,249,0,1,1
91,99,771,204,239,0,1,1
92,34,825,204,259,0,0,0
93,43,811,204,269,0,0,0
94,98,781,204,251,0,1,1
95,54,798,204,259,0,0,0
96,61,804,204,249,0,0,0
97,73,804,204,249,0,0,0
98,54,814,204,245,0,0,0
99,74,806,204,261,0,0,0
100,68,822,204,257,0,1,1
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #2
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,73,829,204,269,0,0,0
2,78,828,204,250,0,0,0
3,56,837,204,265,0,0,0
4,50,845,204,246,0,0,0
5,66,877,204,227,0,0,0
6,139,871,204,257,0,1,1
