MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,76,604,204,265,0,1,1
2,52,797,204,241,0,0,0
3,52,837,204,254,0,0,0
4,43,855,204,245,0,0,0
5,26,833,204,245,0,0,0
6,76,841,204,257,0,1,1
7,31,749,204,248,0,1,1
8,101,775,204,258,0,1,1
9,37,789,204,259,0,0,0
10,41,724,204,261,0,0,0
11,52,771,204,229,0,0,0
12,100,799,204,251,0,1,1
13,65,413,204,251,0,1,1
14,49,819,204,259,0,0,0
15,24,751,204,259,0,0,0
16,46,798,204,245,0,0,0
17,108,705,204,231,0,1,1
18,85,771,204,257,0,1,1
19,49,806,204,239,0,0,0
20,80,817,204,244,0,1,1
21,43,833,204,262,0,0,0
22,49,831,204,258,0,0,0
23,37,824,204,254,0,0,0
24,59,811,204,253,0,0,0
25,68,859,204,257,0,1,1
26,58,780,204,253,0,0,0
27,40,788,204,256,0,0,0
28,51,575,204,254,0,1,1
29,41,654,204,241,0,1,1
30,58,770,204,253,0,1,1
31,45,345,204,257,0,1,1
32,55,659,204,247,0,0,0
33,52,742,204,258,0,0,0
34,44,559,204,246,0,1,1
35,42,371,204,254,0,1,1
36,46,541,204,204,1,0,1
37,66,793,204,245,0,0,0
38,90,771,204,256,0,1,1
39,37,844,204,261,0,0,0
40,46,769,204,248,0,0,0
41,66,776,204,251,0,1,1
42,77,775,204,251,0,0,0
43,94,795,204,242,0,1,1
44,81,765,204,255,0,0,0
45,55,715,204,251,0,1,1
46,69,751,204,255,0,0,0
47,84,709,204,253,0,1,1
48,32,678,204,252,0,0,0
49,49,749,204,258,0,0,0
50,54,343,204,249,0,1,1
51,47,525,204,204,1,0,1
52,35,816,204,256,0,0,0
53,69,756,204,258,0,0,0
54,84,660,204,246,0,1,1
55,58,609,204,252,0,1,1
56,54,806,204,260,0,0,0
57,67,737,204,253,0,0,0
58,40,830,204,248,0,0,0
59,50,815,204,253,0,0,0
60,79,790,204,245,0,0,0
61,33,799,204,261,0,0,0
62,55,765,204,271,0,0,0
63,72,762,204,254,0,1,1
64,45,811,204,248,0,0,0
65,54,753,204,249,0,1,1
66,83,803,204,240,0,1,1
67,63,628,204,254,0,1,1
68,59,793,204,246,0,1,1
69,77,776,204,260,0,1,1
