MVS0924.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,52,753,204,263,0,0,0
2,106,787,204,261,0,0,0
3,87,774,204,252,0,0,0
4,87,776,204,260,0,0,0
5,121,777,204,254,0,0,0
6,61,771,204,253,0,0,0
7,82,769,204,251,0,0,0
8,108,788,204,256,0,0,0
9,71,804,204,258,0,0,0
10,97,769,204,258,0,1,1
11,61,781,204,254,0,0,0
12,91,848,204,251,0,0,0
13,106,794,204,256,0,0,0
14,104,784,204,245,0,0,0
15,86,774,204,257,0,0,0
16,70,777,204,257,0,0,0
17,105,768,204,253,0,1,1
18,90,779,204,254,0,0,0
19,85,798,204,259,0,0,0
20,107,808,204,258,0,0,0
21,112,799,204,265,0,0,0
22,95,764,204,242,0,0,0
23,106,765,204,258,0,0,0
24,56,775,204,254,0,0,0
25,73,758,204,251,0,0,0
26,85,814,204,272,0,0,0
27,76,763,204,264,0,0,0
28,115,813,204,264,0,0,0
29,73,766,204,256,0,0,0
30,97,785,204,252,0,1,1
31,99,805,204,254,0,0,0
32,70,798,204,257,0,0,0
33,84,787,204,269,0,0,0
34,83,794,204,254,0,0,0
35,74,801,204,258,0,0,0
36,87,793,204,254,0,0,0
37,135,769,204,252,0,1,1
38,134,829,204,250,0,0,0
39,176,809,204,259,0,0,0
40,62,781,204,252,0,0,0
41,96,831,204,261,0,0,0
42,93,739,204,254,0,0,0
43,59,770,204,249,0,0,0
44,54,750,204,259,0,0,0
45,92,764,204,254,0,0,0
46,61,779,204,258,0,1,1
47,87,825,204,248,0,0,0
48,91,759,204,258,0,0,0
49,61,764,204,265,0,0,0
50,94,793,204,256,0,0,0
51,104,814,204,253,0,0,0
52,123,790,204,263,0,0,0
53,90,781,204,248,0,0,0
54,115,776,204,265,0,0,0
55,49,758,204,259,0,0,0
56,78,787,204,236,0,0,0
57,68,766,204,252,0,0,0
58,38,784,204,255,0,0,0
59,99,782,204,258,0,1,1
60,144,793,204,248,0,0,0
61,67,763,204,255,0,0,0
62,69,802,204,250,0,0,0
63,85,776,204,262,0,0,0
64,111,812,204,263,0,0,0
65,111,754,204,256,0,0,0
66,72,774,204,255,0,0,0
67,65,789,204,259,0,0,0
68,94,799,204,253,0,0,0
69,86,788,204,264,0,0,0
70,91,743,204,259,0,0,0
71,88,743,204,258,0,0,0
72,68,799,204,258,0,0,0
73,68,789,204,247,0,0,0
74,72,812,204,257,0,0,0
75,112,800,204,261,0,0,0
76,85,763,204,279,0,0,0
77,49,744,204,246,0,0,0
78,103,714,204,254,0,0,0
79,57,733,204,250,0,0,0
80,88,787,204,251,0,0,0
81,72,574,204,258,0,1,1
82,82,803,204,265,0,0,0
83,94,757,204,265,0,0,0
84,84,780,204,254,0,1,1
85,103,752,204,245,0,0,0
86,76,780,204,253,0,0,0
87,92,778,204,252,0,0,0
88,72,686,204,261,0,0,0
89,35,770,204,272,0,0,0
90,119,760,204,245,0,0,0
91,99,783,204,255,0,0,0
92,89,793,204,259,0,0,0
93,100,802,204,252,0,1,1
94,90,806,204,262,0,0,0
95,95,769,204,253,0,0,0
96,51,801,204,267,0,0,0
97,87,769,204,258,0,1,1
98,74,804,204,247,0,0,0
99,96,786,204,252,0,1,1
100,66,769,204,253,0,0,0
MVS0924.02 | 100 Measurements per MVS  #2
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,188,868,204,281,0,0,0
2,104,935,204,268,0,0,0
3,144,879,204,269,0,0,0
4,141,886,204,273,0,0,0
5,130,891,204,279,0,0,0
6,136,876,204,285,0,0,0
7,144,875,204,286,0,0,0
8,106,918,204,272,0,0,0
9,87,911,204,270,0,0,0
10,121,817,204,256,0,0,0
11,113,888,204,264,0,0,0
12,151,894,204,284,0,0,0
13,120,894,204,279,0,0,0
14,139,890,204,268,0,0,0
15,77,926,204,271,0,0,0
16,151,829,204,253,0,0,0
17,102,914,204,291,0,0,0
18,114,909,204,266,0,0,0
19,96,915,204,271,0,0,0
20,127,902,204,273,0,0,0
21,143,872,204,280,0,0,0
22,129,917,204,270,0,0,0
23,112,937,204,293,0,0,0
24,100,951,204,289,0,0,0
25,111,922,204,285,0,0,0
26,126,880,204,253,0,0,0
