MVS0409.02L SIGMA
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,22,849,203,285,0,0,0
2,20,843,203,306,0,0,0
3,13,906,203,341,0,0,0
4,11,820,203,306,0,0,0
5,23,762,203,293,0,0,0
6,23,767,203,293,0,0,0
7,19,800,203,283,0,0,0
8,22,851,203,294,0,0,0
9,27,750,203,285,0,0,0
10,28,845,203,293,0,0,0
11,42,873,203,294,0,0,0
12,38,829,203,277,0,0,0
13,21,830,203,305,0,0,0
14,27,846,203,309,0,0,0
15,34,861,203,293,0,0,0
16,40,871,203,272,0,0,0
17,31,807,203,284,0,0,0
18,35,798,203,275,0,0,0
19,40,789,203,277,0,0,0
20,25,878,203,284,0,0,0
21,16,303,203,290,0,1,1
22,18,509,203,203,1,0,1
23,28,797,203,267,0,0,0
24,23,780,203,282,0,0,0
25,30,782,203,277,0,0,0
26,28,755,203,269,0,0,0
27,29,833,203,293,0,0,0
28,26,821,203,296,0,0,0
29,45,786,203,275,0,0,0
30,31,834,203,283,0,0,0
31,24,764,203,294,0,0,0
32,1,999,203,403,0,0,0
33,13,880,203,319,0,0,0
34,14,800,203,292,0,0,0
35,32,751,203,318,0,0,0
36,28,814,203,264,0,0,0
37,12,925,203,306,0,0,0
38,21,819,203,294,0,0,0
39,34,814,203,268,0,0,0
40,23,796,203,281,0,0,0
41,27,749,203,277,0,0,0
42,25,740,203,290,0,0,0
43,24,793,203,297,0,0,0
44,28,751,203,279,0,0,0
45,21,806,203,294,0,0,0
46,35,720,203,271,0,0,0
47,17,893,203,276,0,0,0
48,32,798,203,306,0,0,0
49,19,870,203,299,0,0,0
50,35,794,203,273,0,0,0
51,28,821,203,281,0,0,0
52,22,797,203,276,0,0,0
53,11,942,203,304,0,0,0
54,20,784,203,288,0,0,0
55,15,818,203,310,0,0,0
56,15,843,203,299,0,0,0
57,21,793,203,278,0,0,0
58,33,791,203,279,0,0,0
59,6,927,203,299,0,0,0
60,29,811,203,277,0,0,0
61,34,843,203,291,0,0,0
62,33,882,203,290,0,0,0
63,31,819,203,278,0,0,0
64,24,726,203,305,0,0,0
65,15,798,203,305,0,0,0
66,14,783,203,298,0,0,0
67,17,753,203,310,0,0,0
68,21,785,203,293,0,0,0
69,17,839,203,281,0,0,0
70,19,812,203,235,0,0,0
71,9,924,203,316,0,0,0
72,0,1000,203,4,0,0,1
73,20,836,203,317,0,1,1
74,26,800,203,285,0,0,0
75,27,807,203,282,0,0,0
76,27,825,203,269,0,0,0
77,10,951,203,306,0,0,0
78,22,889,203,305,0,0,0
79,17,888,203,291,0,0,0
80,17,854,203,289,0,0,0
81,8,950,203,439,0,0,0
82,8,948,203,234,0,0,0
83,0,1000,203,3,0,0,1
84,0,1000,203,0,0,0,1
85,0,1000,203,0,0,0,1
86,16,911,203,349,0,0,0
87,30,766,203,292,0,0,0
88,20,730,203,284,0,0,0
89,24,779,203,282,0,0,0
90,25,796,203,276,0,0,0
91,20,951,203,235,0,0,0
92,16,842,203,305,0,0,0
93,17,906,203,279,0,0,0
94,29,761,203,292,0,0,0
95,22,803,203,234,0,0,0
96,18,829,203,316,0,0,0
97,29,804,203,235,0,0,0
98,29,750,203,277,0,0,0
99,34,839,203,281,0,0,0
100,20,775,203,293,0,0,0
