MVS0409.02L SIGMA 10000 Measurements
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,41,751,198,288,0,0,0
2,16,866,203,291,0,0,0
3,19,809,203,294,0,0,0
4,17,794,203,297,0,0,0
5,25,779,203,278,0,0,0
6,25,766,203,272,0,0,0
7,24,853,203,284,0,0,0
8,32,742,203,277,0,0,0
9,16,796,203,294,0,0,0
10,19,701,203,295,0,0,0
11,22,803,203,284,0,0,0
12,25,816,203,277,0,0,0
13,38,800,203,275,0,0,0
14,24,816,203,268,0,0,0
15,25,840,203,317,0,0,0
16,31,761,203,267,0,0,0
17,28,790,203,276,0,0,0
18,37,770,203,271,0,1,1
19,24,791,203,297,0,1,1
20,37,732,203,275,0,0,0
21,15,871,203,274,0,0,0
22,0,1000,203,3,0,0,1
23,0,1000,203,0,0,0,1
24,0,1000,203,0,0,0,1
25,5,957,203,442,0,0,0
26,23,823,203,305,0,0,0
27,22,783,203,280,0,0,0
28,14,817,203,306,0,0,0
29,26,856,203,293,0,0,0
30,28,780,203,305,0,0,0
31,29,847,203,281,0,0,0
32,36,820,203,278,0,0,0
33,23,805,203,294,0,0,0
34,22,830,203,292,0,0,0
35,17,850,203,305,0,0,0
36,16,810,203,306,0,0,0
37,17,336,203,306,0,1,1
38,18,522,203,203,1,0,1
39,36,771,203,286,0,0,0
40,24,855,203,292,0,0,0
41,37,852,203,295,0,0,0
42,16,859,203,279,0,0,0
43,23,823,203,280,0,0,0
44,19,837,203,279,0,0,0
45,14,878,203,308,0,0,0
46,28,841,203,285,0,0,0
47,19,844,203,305,0,0,0
48,27,853,203,295,0,0,0
49,26,860,203,292,0,0,0
50,23,817,203,282,0,0,0
51,31,780,203,279,0,0,0
52,33,787,203,299,0,1,1
53,32,852,203,293,0,0,0
54,29,816,203,283,0,0,0
55,15,851,203,281,0,0,0
56,24,796,203,282,0,0,0
57,20,849,203,244,0,0,0
58,23,784,203,291,0,0,0
59,27,724,203,293,0,0,0
60,28,868,203,294,0,0,0
61,23,692,203,304,0,0,0
62,25,706,203,285,0,0,0
63,19,875,203,275,0,0,0
