MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,44,895,203,247,0,0,0
2,51,912,203,258,0,0,0
3,53,918,203,259,0,0,0
4,62,869,203,264,0,0,0
5,65,905,203,247,0,0,0
6,61,854,203,253,0,0,0
7,81,836,203,255,0,0,0
8,65,821,203,255,0,0,0
9,54,850,203,264,0,0,0
10,44,878,203,265,0,0,0
11,69,845,203,255,0,0,0
12,53,850,203,254,0,0,0
13,45,844,203,257,0,0,0
14,66,800,203,261,0,0,0
15,52,832,203,264,0,0,0
16,62,864,203,268,0,0,0
17,42,866,203,250,0,0,0
18,42,897,203,282,0,0,0
19,43,873,203,263,0,0,0
20,36,902,203,266,0,0,0
21,37,867,203,260,0,0,0
22,58,845,203,276,0,0,0
23,62,855,203,247,0,1,1
24,71,832,203,264,0,0,0
25,69,824,203,267,0,0,0
26,53,870,203,266,0,0,0
27,79,847,203,256,0,0,0
28,74,837,203,263,0,0,0
29,50,852,203,246,0,0,0
30,76,843,203,268,0,0,0
31,64,815,203,262,0,0,0
32,86,819,203,263,0,0,0
33,96,819,203,263,0,0,0
34,82,841,203,264,0,0,0
35,92,850,203,265,0,0,0
36,75,836,203,267,0,0,0
37,73,822,203,270,0,0,0
38,45,881,203,267,0,0,0
39,88,840,203,252,0,0,0
40,73,835,203,269,0,0,0
41,64,858,203,269,0,0,0
42,63,846,203,269,0,0,0
43,64,838,203,266,0,0,0
44,64,839,203,267,0,0,0
45,66,838,203,252,0,1,1
46,81,867,203,248,0,0,0
47,77,867,203,243,0,0,0
48,56,856,203,270,0,0,0
49,73,846,203,247,0,0,0
50,94,832,203,265,0,0,0
51,90,842,203,243,0,0,0
52,60,878,203,269,0,0,0
53,65,872,203,278,0,0,0
54,68,884,203,267,0,0,0
55,61,867,203,274,0,0,0
56,74,900,203,274,0,0,0
57,80,861,203,241,0,0,0
58,75,849,203,262,0,0,0
59,59,900,203,268,0,0,0
60,96,824,203,274,0,1,1
61,71,857,203,249,0,0,0
62,51,898,203,269,0,0,0
63,71,889,203,252,0,0,0
64,64,878,203,272,0,0,0
65,67,864,203,254,0,0,0
66,57,886,203,262,0,0,0
67,88,842,203,263,0,0,0
68,43,876,203,249,0,0,0
69,60,877,203,260,0,0,0
70,63,867,203,245,0,1,1
71,76,832,203,250,0,0,0
72,69,856,203,258,0,0,0
73,62,843,203,265,0,0,0
74,91,798,203,253,0,0,0
75,97,773,203,266,0,0,0
76,85,825,203,259,0,0,0
77,60,801,203,267,0,0,0
78,95,808,203,266,0,0,0
79,101,789,203,266,0,0,0
