MeasurementNr., Pulses, Hightime[ms], t_vibration[ms], t_responce[ms], open_before_vibr[bool], open_after_vibr[bool], bad[bool]
1, 0, 0, 205, 205, 1, 1, 1
MeasurementNr., Pulses, Hightime[ms], t_vibration[ms], t_responce[ms], open_before_vibr[bool], open_after_vibr[bool], bad[bool]
1, 0, 0, 205, 205, 1, 1, 1
MeasurementNr., Pulses, Hightime[ms], t_vibration[ms], t_responce[ms], open_before_vibr[bool], open_after_vibr[bool], bad[bool]
1, 0, 0, 205, 205, 1, 1, 1
MeasurementNr., Pulses, Hightime[ms], t_vibration[ms], t_responce[ms], open_before_vibr[bool], open_after_vibr[bool], bad[bool]
1, 0, 0, 205, 205, 1, 1, 1
MeasurementNr., Pulses, Hightime[ms], t_vibration[ms], t_responce[ms], open_before_vibr[bool], open_after_vibr[bool], bad[bool]
1, 0, 0, 205, 205, 1, 1, 1
MeasurementNr., Pulses, Hightime[ms], t_vibration[ms], t_responce[ms], open_before_vibr[bool], open_after_vibr[bool], bad[bool]
1, 0, 0, 205, 205, 1, 1, 1
